ChEMBL ID,standard_value
,
CHEMBL394875,63000
,
CHEMBL200381,50
,
CHEMBL502351,3000
,
CHEMBL492572,46
,
CHEMBL492591,141
,
CHEMBL494772,1995.26
,
CHEMBL561103,4.6
,
CHEMBL559525,1.52
,
CHEMBL397983,8
,
CHEMBL1096283,200000
,
CHEMBL1078983,16
,
CHEMBL4068896,239.9
,
CHEMBL332148,44000
,
CHEMBL518800,130
,
CHEMBL469169,4
,
CHEMBL1204168,0.66
,
CHEMBL567303,75000
,
CHEMBL1241767,9600
,
CHEMBL604710,12200
,
CHEMBL410295,7
,
CHEMBL270948,5.129
,
CHEMBL471411,8600
,
CHEMBL1642655,14
,
CHEMBL513390,320000
,
CHEMBL401930,100
,
CHEMBL473659,250000
,
CHEMBL483243,146
,
CHEMBL232656,18
,
CHEMBL522618,214
,
CHEMBL97162,34
,
CHEMBL379218,14
,
CHEMBL97257,0.77
,
CHEMBL147507,54000
,
CHEMBL2159495,4200
,
CHEMBL4072005,91
,
CHEMBL33620,0.072
,
CHEMBL1230001,89
,
CHEMBL1236904,15
,
CHEMBL3237719,3
,
CHEMBL11594,30000
,
CHEMBL3259907,23000
,
CHEMBL3040440,120
,
CHEMBL4210419,0.8
,
CHEMBL480889,100
,
CHEMBL502124,55
,
CHEMBL3143955,4700
,
CHEMBL1807053,93
,
CHEMBL298019,63.1
,
CHEMBL325226,3
,
CHEMBL3356143,4.7
,
CHEMBL333081,20500
,
CHEMBL3356976,74.13
,
CHEMBL266510,352
,
CHEMBL480718,680
,
CHEMBL470334,500
,
CHEMBL44752,89000
,
CHEMBL394527,40
,
CHEMBL178654,33
,
CHEMBL264406,1.5
,
CHEMBL3341861,32.5
,
CHEMBL97424,100000
,
CHEMBL3215749,2690
,
CHEMBL97771,100000
,
CHEMBL3393599,1300
,
CHEMBL3356433,32
,
CHEMBL823,76600
,
CHEMBL3233606,70000
,
CHEMBL2105450,3710
,
CHEMBL3092537,6300
,
CHEMBL3264002,40
,
CHEMBL1671898,2570.4
,
CHEMBL1650511,10000
,
CHEMBL1669669,4540
,
CHEMBL1650619,5000000
,
CHEMBL2338352,199.53
,
CHEMBL3094448,22
,
CHEMBL3823931,700
,
CHEMBL1620289,1800
,
CHEMBL2424812,200
,
CHEMBL1775179,3000
,
CHEMBL1627056,1500000
,
CHEMBL373428,100000
,
CHEMBL77538,22
,
CHEMBL536480,18.1
,
CHEMBL2164551,26
,
CHEMBL1652621,29
,
CHEMBL272357,40000
,
CHEMBL1774154,3.3
,
CHEMBL1409793,50000
,
CHEMBL2385591,4090
,
CHEMBL3672295,2.6
,
CHEMBL1428564,2150
,
CHEMBL3218581,32
,
CHEMBL108425,0.5
,
CHEMBL2336409,11220
,
CHEMBL331465,9
,
CHEMBL3672841,100000
,
CHEMBL434045,5000
,
CHEMBL225542,4000
,
CHEMBL262766,190
,
CHEMBL1095008,250000
,
CHEMBL3786182,41
,
CHEMBL2169920,120
,
CHEMBL3774655,170
,
CHEMBL3770903,440
,
CHEMBL108084,820000
,
CHEMBL325795,1600
,
CHEMBL33240,4000
,
CHEMBL428462,18000
,
CHEMBL94841,100000
,
CHEMBL391586,50
,
CHEMBL401989,4000
,
CHEMBL207225,140000
,
CHEMBL229430,0.9
,
CHEMBL379761,240
,
CHEMBL441225,0.5
,
CHEMBL3884248,5000000
,
CHEMBL339133,9
,
CHEMBL256470,17
,
CHEMBL16596,3
,
CHEMBL150315,2000
,
CHEMBL8759,100000
,
CHEMBL144399,550
,
CHEMBL31344,69
,
CHEMBL1476337,8260
,
CHEMBL284782,190
,
CHEMBL299879,13000
,
CHEMBL67391,900
,
CHEMBL188528,2
,
CHEMBL427526,110
,
CHEMBL3098745,330
,
CHEMBL75474,300
,
CHEMBL2036730,0.3
,
CHEMBL1956071,5.6
,
CHEMBL247920,221
,
CHEMBL426161,10
,
CHEMBL226630,44
,
CHEMBL3753077,1800
,
CHEMBL3617053,10000
,
CHEMBL63064,1.62
,
CHEMBL71921,13000
,
CHEMBL3410223,10
,
CHEMBL3338865,16
,
CHEMBL558805,8070
,
CHEMBL2441340,3388
,
CHEMBL558642,13
,
CHEMBL597997,2.5
,
CHEMBL571948,30
,
CHEMBL2204495,61.3
,
CHEMBL1233584,140000
,
CHEMBL594828,600
,
CHEMBL1704,15
,
