"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL35093";"";"PD-172939";"Small molecule";"0";"349.48";"8";"8";"3.30";"35.58";"3";"1";"0";"4";"N";"0.92";"13.91";"8.02";"3.70";"2.99";"2";"MOL";"-1";"26";"4";"1";"0";"349.2154";"NEUTRAL";"C22H27N3O";"Cc1ccc(N2CCN(CC[C@H]3NC(=O)c4ccccc43)CC2)cc1C"
"CHEMBL3039407";"";"";"Small molecule";"0";"454.97";"1";"1";"3.89";"72.83";"5";"1";"0";"2";"N";"0.64";"13.60";"None";"3.30";"3.30";"0";"MOL";"-1";"31";"5";"1";"0";"454.1922";"NEUTRAL";"C24H32ClFO5";"CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)[C@]2(C(=O)CCl)O1"
"CHEMBL394875";"";"";"Small molecule";"0";"135.19";"4";"4";"-0.24";"63.32";"3";"2";"0";"3";"N";"0.56";"2.44";"9.15";"-2.40";"-2.41";"0";"MOL";"-1";"8";"3";"3";"0";"135.0354";"ZWITTERION";"C4H9NO2S";"CSC[C@H](N)C(=O)O"
"CHEMBL55743";"";"";"Small molecule";"0";"207.23";"4";"5";"0.82";"66.40";"2";"2";"0";"4";"N";"0.77";"4.02";"None";"0.90";"-2.25";"1";"MOL";"-1";"15";"4";"2";"0";"207.0895";"ACID";"C11H13NO3";"CC(=O)N[C@@H](Cc1ccccc1)C(=O)O"
"CHEMBL200381";"";"";"Small molecule";"0";"404.84";"236";"486";"5.04";"86.52";"6";"2";"1";"5";"N";"0.48";"None";"4.84";"3.53";"3.53";"4";"MOL";"-1";"29";"6";"2";"1";"404.0953";"NEUTRAL";"C21H14ClFN6";"N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1"
"CHEMBL192254";"";"";"Small molecule";"0";"257.25";"1";"1";"-2.17";"130.83";"8";"4";"0";"2";"N";"0.47";"12.43";"None";"-2.52";"-2.52";"1";"MOL";"-1";"18";"8";"5";"0";"257.1012";"NEUTRAL";"C10H15N3O5";"CC1(O)C(O)C(CO)OC1n1ccc(N)nc1=O"
"CHEMBL3545175";"PF-03882845";"PF-03882845|PF-3882845";"Small molecule";"1";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL502351";"";"";"Small molecule";"0";"352.40";"21";"22";"4.62";"52.31";"5";"0";"0";"3";"N";"0.48";"None";"4.28";"3.95";"3.95";"5";"MOL";"-1";"27";"5";"0";"0";"352.1324";"NEUTRAL";"C22H16N4O";"COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1"
"CHEMBL492572";"";"";"Small molecule";"0";"462.98";"7";"28";"4.59";"70.13";"4";"2";"0";"5";"N";"0.46";"12.75";"7.12";"4.10";"3.92";"4";"MOL";"-1";"33";"6";"2";"0";"462.1823";"NEUTRAL";"C26H27ClN4O2";"C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1"
"CHEMBL492591";"";"5-Carboxyfuro[3,2-B]Pyrrole";"Small molecule";"0";"151.12";"19";"68";"1.46";"66.23";"2";"2";"0";"1";"N";"0.65";"3.59";"None";"0.82";"-2.52";"2";"MOL";"-1";"11";"4";"2";"0";"151.0269";"ACID";"C7H5NO3";"O=C(O)c1cc2occc2[nH]1"
